DataName,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho
Units,,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W)
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
DataValue,1.0,22.0,2.82,84643.28899637242,3.308e-05,9.32856e-05,2.74,105042.81636536632,1.0,22.0,2.9,99602.28255230849,2.8915e-05,8.385349999999999e-05,0.06,891464.2299977714,1.0,22.0,2.42,40404.0404040404,5.94e-05,0.000143748,1.46,139287.56293821466,1.0,22.0,1.5,19307.28589133129,7.6655e-05,0.0001149825,0.8200000000000001,41884.8167539267,1.0,22.0,0.9,2680.067001675042,0.00032835,0.000295515,0.74,6084.867894315453
DataValue,1.0,23.0,2.82,101174.3450767841,2.7675e-05,7.804349999999999e-05,0.5,615275.3949003136,1.0,23.0,2.94,86762.73956321497,3.3655e-05,9.89457e-05,2.1,309669.8802220275,1.0,23.0,2.38,31926.406926406926,7.392e-05,0.00017592959999999998,0.45999999999999996,265780.73089700995,1.0,23.0,1.5,19374.26364707422,7.639e-05,0.000114585,2.62,2639.4721055788846,1.0,23.0,0.9,2596.6361758630865,0.0003389,0.00030501,1.54,1559.922003899805
DataValue,1.0,24.0,2.86,97829.83120909403,2.903e-05,8.30258e-05,1.26,459357.6170823614,1.0,24.0,2.94,83595.7629544804,3.493e-05,0.00010269419999999999,1.22,565306.5876453158,1.0,24.0,2.34,39392.13855165973,5.8895e-05,0.00013781429999999999,0.42000000000000004,268620.2686202686,1.0,24.0,1.5,18510.41210681008,7.9955e-05,0.00011993250000000001,2.58,2599.220233929821,1.0,24.0,0.9,2535.2924229328723,0.0003471,0.00031239,0.33999999999999997,11020.970457676412
DataValue,1.0,25.0,2.86,89916.09941427891,3.1585e-05,9.033310000000001e-05,1.8599999999999999,332890.6595838867,1.0,25.0,2.94,94913.05054444986,3.0765e-05,9.044910000000001e-05,1.66,432154.3408360129,1.0,25.0,2.38,36473.224634881386,6.4705e-05,0.0001539979,1.1,180863.94832458624,1.0,25.0,1.5,19029.251044680164,7.7775e-05,0.00011666250000000001,0.86,40627.885503231766,1.0,25.0,0.9,2771.6535433070862,0.0003175,0.00028575000000000003,2.34,2359.882005899705
DataValue,1.0,26.0,2.86,99422.37003325748,2.8565e-05,8.169589999999999e-05,1.62,392955.552893255,1.0,26.0,2.94,95706.32579482136,3.051e-05,8.96994e-05,0.66,758462.9970442251,1.0,26.0,2.38,39431.913116123644,5.985e-05,0.000142443,1.02,192254.36731675756,1.0,26.0,1.5,18557.993730407525,7.975e-05,0.000119625,2.26,2278.291281538846,1.0,26.0,0.9,2619.0476190476193,0.000336,0.0003024,2.82,2839.858007099645
DataValue,1.0,27.0,2.86,103347.88937409024,2.748e-05,7.85928e-05,2.14,274094.283357655,1.0,27.0,2.98,86930.98384728341,3.405e-05,0.000101469,0.18,899482.7973915,1.0,27.0,2.38,35371.702637889684,6.672e-05,0.0001587936,0.86,208728.65275142316,1.0,27.0,1.5,18847.500795924865,7.8525e-05,0.0001177875,0.78,43266.63061114116,1.0,27.0,0.9,2699.8005829114895,0.00032595,0.00029335499999999997,0.62,8539.026017344897
DataValue,1.0,28.0,2.9,87657.89073200425,3.2855e-05,9.52795e-05,1.34,474032.76402927854,1.0,28.0,2.98,102992.34516353514,2.874e-05,8.56452e-05,1.38,541481.3382324502,1.0,28.0,2.34,40242.84475281873,5.765e-05,0.000134901,0.78,219238.14743765414,1.0,28.0,1.5,18852.30240112095,7.8505e-05,0.0001177575,0.02,62324.71174820816,1.0,28.0,0.9,2740.579258797882,0.0003211,0.00028899,0.78,4508.312200619893
DataValue,1.0,29.0,2.86,110034.87020534677,2.581e-05,7.381659999999999e-05,1.26,493066.25577812025,1.0,29.0,2.94,95222.56644382847,3.0665e-05,9.01551e-05,0.8200000000000001,692783.5051546391,1.0,29.0,2.38,39431.913116123644,5.985e-05,0.000142443,0.22,295420.9748892171,1.0,29.0,1.5,19230.76923076923,7.696e-05,0.00011543999999999999,1.66,1679.7480377943307,1.0,29.0,0.9,2675.1785985712113,0.00032895,0.000296055,1.34,1359.9320033998301
DataValue,1.0,30.0,2.86,119177.50734368442,2.383e-05,6.81538e-05,0.30000000000000004,713171.3839982171,1.0,30.0,2.98,81419.33709255948,3.6355e-05,0.0001083379,1.46,489579.88752894476,1.0,30.0,2.42,41626.9187407857,5.7655e-05,0.0001395251,0.18,301340.96730450506,1.0,30.0,1.5,19178.437216534923,7.717e-05,0.00011575499999999999,1.3,25874.74272272861,1.0,30.0,0.9,2633.5478078707165,0.00033415,0.000300735,0.98,999.950002499875
DataValue,1.0,31.0,2.74,140786.74948240165,1.932e-05,5.2936800000000005e-05,1.18,530035.335689046,1.0,31.0,2.98,91104.95537088334,3.249e-05,9.682020000000001e-05,1.62,447842.7089022392,1.0,31.0,2.34,41332.620701941916,5.613e-05,0.0001313442,0.7,233842.15654433257,1.0,31.0,1.5,19592.268996558116,7.554e-05,0.00011331,2.54,2561.0244097639056,1.0,31.0,0.9,2636.3091671659677,0.0003338,0.00030042,0.26,11594.202898550726
