DataName,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth,Vth
Units,V,V,V,V,V,V,V,V,V,V
Size,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm
DataValue,2.38,2.06,1.82,2.34,2.26,2.1,2.38,2.3,2.3,2.22
DataValue,2.42,2.14,1.8599999999999999,2.34,2.26,2.14,2.38,2.3,2.26,2.22
DataValue,2.5,2.06,1.78,2.34,2.26,2.14,2.38,2.3,2.06,2.22
DataValue,2.54,2.06,1.78,2.34,2.22,2.14,2.38,2.3,2.02,2.22
DataValue,2.5,2.1,1.78,2.34,2.22,2.14,2.38,2.3,2.02,2.22
DataValue,2.5,2.1,1.78,2.34,2.22,2.14,2.42,2.3,2.02,2.22
DataValue,2.5,2.1,1.78,2.34,2.7,2.14,2.42,2.3,1.98,2.22
DataValue,2.46,2.1,1.78,2.34,2.26,2.14,2.42,2.3,2.02,2.22
DataValue,2.42,2.06,1.74,2.34,2.9,2.14,2.42,2.3,2.02,2.22
DataValue,2.34,2.1,1.78,2.34,2.34,2.14,2.42,2.34,1.98,2.26
DataValue,2.3,2.06,1.82,2.34,2.42,2.14,2.42,2.3,1.98,2.22
DataValue,2.3,2.06,1.78,2.34,2.26,2.18,2.42,2.3,1.9,2.22
