DataName,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,2680.067001675042,3063.569057952515,7600.228006840205,3934.0101522842638,6220.839813374805,8100.445524503847,6140.963014654571,7191.657677094571,3184.1756121095164,693.8884440886043
DataValue,2596.6361758630865,3069.4462207443407,7732.955277741978,3930.2694136291598,6201.5503875969,7965.4829074012605,5753.595997498436,7596.9802003703535,3176.130895091434,700.2423915970912
DataValue,2535.2924229328723,3061.2244897959185,7589.172780166961,3920.3288017704713,5670.665212649946,8689.58026223912,5806.248027769013,7658.8004403810255,3186.8662481892807,703.2253702075867
DataValue,2771.6535433070862,3063.569057952515,7591.573353577528,3903.6675586337165,5714.285714285715,8716.631644485953,5775.266792215945,8144.4569469002845,3181.489515545915,697.5184439973173
DataValue,2619.0476190476193,3064.3513789581207,7611.798287345385,3912.9062795834648,6197.706848466068,8743.851979077212,5905.006418485238,7673.860911270984,3179.190751445087,702.607755708688
DataValue,2699.8005829114895,3062.3963251244095,7693.2940120528265,3893.249607535322,6190.034045187249,8653.32612222823,5843.124801524294,7584.376185058779,3166.22691292876,706.090026478376
DataValue,2740.579258797882,3062.0056136769585,7791.195948578107,3911.055038637439,5703.317795448314,8742.486925298574,5914.496946319511,7610.350076103501,3414.8234381063253,703.51078942028
DataValue,2675.1785985712113,3058.8835075197553,7788.16199376947,3904.8968666351757,6224.712107065048,8754.787774564216,5824.62804685027,7606.008746910059,3410.4120914610517,703.7011976453075
DataValue,2633.5478078707165,3056.5461029037187,7036.833424958769,3915.9955787146687,5667.57493188011,8721.382962155429,5780.710021991832,8030.0068677690315,3399.4334277620396,705.6588410910572
DataValue,2636.3091671659677,3065.1340996168583,7729.468599033816,3920.3288017704713,6191.950464396285,8761.636548541032,5826.472450918303,7632.859459975194,3390.701258669407,709.4617641039634
DataValue,2783.4888502293215,3063.960168517809,7817.080320500292,3919.0897597977246,6190.034045187249,8756.84128225176,5871.091257179324,7585.81452683482,3373.8019169329077,714.2857142857143
DataValue,2676.80608365019,3056.9354222392053,7824.7261345852885,3905.5118110236217,5641.442907512883,8183.864147855145,5768.025078369907,8120.959555484319,3373.37081523128,712.523979172376
DataValue,2688.6648334860984,3061.2244897959185,7816.062007425258,2978.47585805701,6190.034045187249,8767.80961327697,5791.627321372363,7613.609326671425,3369.4958519463944,712.6704584389777
DataValue,2710.1940252540808,3063.569057952515,7784.625364904314,2998.3602717263993,6186.204763377667,8718.667289428617,5375.139977603583,7736.195725751862,3359.63349452787,711.5976736229901
DataValue,2688.6648334860984,3063.569057952515,7897.334649555774,2970.5268043629612,6213.109661385523,8102.086287218959,5786.163522012579,8110.126987514674,3294.235088594959,712.7192982456141
DataValue,2803.887207264617,3061.6150019135093,7261.175402768323,3923.429837051099,6193.868070610096,8078.088185796028,5766.217486681291,8141.403320835565,3350.253807106599,716.3027756732558
DataValue,2785.691674580564,3063.178047223995,7923.930269413629,3934.0101522842638,6167.129201356768,8726.819386005922,5684.275563793636,8110.126987514674,3339.6584440227707,721.2205270457698
DataValue,2808.8094478135968,3063.569057952515,7882.808907574065,3911.055038637439,6150.0615006150065,8049.3694660584915,5632.078359351086,8071.796505761777,3340.5036062254844,714.2366595700845
DataValue,2770.3447190303796,3056.9354222392053,7895.256266859661,3909.821850859215,6169.031462060456,8761.636548541032,5755.395683453237,8115.756313738053,3340.5036062254844,715.9083086666209
DataValue,2851.125870727361,3064.74268931171,7201.12517580872,3915.9955787146687,6199.628022318661,8672.75824686387,5742.821473158552,7704.902244052779,2421.9358187008042,722.9753215154676
DataValue,2889.9835796387524,3059.6634370219276,7906.700929037359,3929.646648708604,6180.469715698393,8673.429876868273,5828.318023439975,7820.9013588816115,2322.8803716608595,721.8212104386453
DataValue,2880.0523645884473,3058.49369185676,7844.162635638646,2971.9061992105876,6174.745291756715,8034.817542684968,5758.998435054773,8283.378746594006,2319.99337144751,722.4730809308788
DataValue,2946.099765651155,3058.8835075197553,7215.332581736189,3924.0506329113928,6184.291898577613,8132.285172133369,5771.643663739022,8306.010928961749,2276.607854297097,728.8527577265401
DataValue,2880.5237315875615,3050.7181899072075,7212.080234392608,2991.3531198878245,6159.531875577457,8754.103486009068,5815.423514538559,8285.184781423743,2199.183160540371,720.1717332594695
