TestParameter ,Measurement.Type ,Selector-IV-sweep
TestParameter ,MainFrame
TestParameter ,Channel.Type ,SMU ,SMU
DataValue ,  3.960000e+00 ,  1.000600e-03 ,  -9.998000e-04
DataValue ,  3.920000e+00 ,  1.000250e-03 ,  -1.000700e-03
DataValue ,  3.880000e+00 ,  9.999000e-04 ,  -9.984000e-04
DataValue ,  3.840000e+00 ,  1.000150e-03 ,  -1.000050e-03
DataValue ,  3.800000e+00 ,  1.000100e-03 ,  -1.001200e-03
DataValue ,  3.760000e+00 ,  1.000100e-03 ,  -9.993500e-04
DataValue ,  3.720000e+00 ,  9.996500e-04 ,  -9.998000e-04
DataValue ,  3.680000e+00 ,  1.000050e-03 ,  -1.000550e-03
DataValue ,  3.640000e+00 ,  1.000300e-03 ,  -9.991000e-04
DataValue ,  3.600000e+00 ,  9.999500e-04 ,  -1.000500e-03
DataValue ,  3.560000e+00 ,  1.000050e-03 ,  -1.000050e-03
DataValue ,  3.520000e+00 ,  1.000200e-03 ,  -9.995000e-04
DataValue ,  3.480000e+00 ,  9.999000e-04 ,  -9.998000e-04
DataValue ,  3.440000e+00 ,  9.998000e-04 ,  -9.994000e-04
DataValue ,  3.400000e+00 ,  9.999500e-04 ,  -9.999000e-04
DataValue ,  3.360000e+00 ,  9.999000e-04 ,  -1.000050e-03
DataValue ,  3.320000e+00 ,  9.998000e-04 ,  -1.000750e-03
DataValue ,  3.280000e+00 ,  1.000150e-03 ,  -1.000650e-03
DataValue ,  3.240000e+00 ,  1.000450e-03 ,  -1.000350e-03
DataValue ,  3.200000e+00 ,  9.993000e-04 ,  -9.999500e-04
DataValue ,  3.160000e+00 ,  9.999000e-04 ,  -1.000100e-03
DataValue ,  3.120000e+00 ,  1.000200e-03 ,  -9.999500e-04
DataValue ,  3.080000e+00 ,  9.999000e-04 ,  -9.996500e-04
DataValue ,  3.040000e+00 ,  1.000650e-03 ,  -9.994000e-04
DataValue ,  3.000000e+00 ,  1.000050e-03 ,  -9.993000e-04
DataValue ,  2.960000e+00 ,  9.998500e-04 ,  -1.000100e-03
DataValue ,  2.920000e+00 ,  1.000250e-03 ,  -1.000650e-03
DataValue ,  2.880000e+00 ,  1.000300e-03 ,  -1.000300e-03
DataValue ,  2.840000e+00 ,  9.995500e-04 ,  -1.001250e-03
DataValue ,  2.800000e+00 ,  9.998000e-04 ,  -9.998000e-04
DataValue ,  2.760000e+00 ,  9.995500e-04 ,  -1.001450e-03
DataValue ,  2.720000e+00 ,  9.997500e-04 ,  -9.989500e-04
DataValue ,  2.680000e+00 ,  1.000800e-03 ,  -9.992000e-04
DataValue ,  2.640000e+00 ,  9.999500e-04 ,  -1.000700e-03
DataValue ,  2.600000e+00 ,  9.998000e-04 ,  -9.989000e-04
