DataName,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,6084.867894315453,10167.33742851091,11270.780501549732,13836.840588065725,13343.340838962557,12533.291555694816,11270.780501549732,11260.396673064619,14014.189366733819,1021.450459652707
DataValue,1559.922003899805,10639.71272775635,11700.18281535649,7029.8769771529005,13380.163907007862,12181.195279786829,2799.7200279972,12981.744421906695,14260.249554367203,1043.8413361169103
DataValue,11020.970457676412,8749.053587953225,11280.315848843768,13836.840588065725,7970.017553014848,12320.961034960726,11420.413990007139,9455.566225899387,14306.15164520744,999.9000099990001
DataValue,2359.882005899705,10430.247718383313,759.92400759924,2359.882005899705,13353.363378400934,12527.40369558409,1439.85601439856,12779.552715654952,14262.791941522553,1051.0411876765422
DataValue,2839.858007099645,10623.464577385299,2839.71602839716,2559.8720063996802,13354.477923378685,12429.115202361532,11425.307055127107,1719.8280171982801,14142.604596346495,1799.9100044997751
DataValue,8539.026017344897,10430.247718383313,11469.53405017921,14059.753954305801,2199.7800219978003,11965.300628178285,9314.823107926557,2519.7480251974803,14247.551202137134,1064.6320365523666
DataValue,4508.312200619893,10309.278350515464,11293.054771315641,12086.113559108648,13342.228152101401,12331.723358339326,1399.8600139986,13230.794674605144,14329.21368439907,873.267110577448
DataValue,1359.9320033998301,8753.471929972226,11702.750146284377,1839.9080045997703,13355.59265442404,12153.437143942272,2719.7280271972804,8168.090708796819,13675.213675213676,719.92800719928
DataValue,999.950002499875,2239.7760223977602,2039.79602039796,1919.712043193521,2519.7480251974803,12503.907471084713,11267.605633802817,13253.81047051027,14271.697440014272,2279.7720227977197
DataValue,11594.202898550726,10005.360014293372,11707.0315358162,12080.0302000755,13391.362571141613,11979.634621144056,959.95200239988,13264.79854087216,1839.9080045997703,2439.878006099695
DataValue,5230.467473030402,7441.091360066142,11714.745936447503,3199.6800319968,12539.184952978057,11744.555908979692,11415.525114155253,13269.198872118095,14025.860179706333,1319.86801319868
DataValue,7302.971903844203,2039.79602039796,11567.37998843262,14236.775370378611,13348.907058234607,11501.334976381188,9796.28186574641,13218.770654329148,14265.33523537803,977.0992366412214
DataValue,12463.971332865935,10426.849136526556,3239.8380080995953,14393.666786613889,2639.8680065996705,11972.46333433104,8080.808080808081,13189.34960019784,12084.592145015105,1110.2629935465964
DataValue,11085.450346420323,1759.91200439978,11444.921316165952,14521.691777092032,11766.436240623621,12469.799703842258,8136.891228909896,13111.88811188811,1959.9020048997552,1679.91600419979
