DataName,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho,Device,Cycle,Vth,Rth,Ith,Pth,Vho,Rho
Units,,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W),,,V,\g(W),I,WV,\g(W)
Size,50nm,50nm,50nm,50nm,50nm,50nm,50nm,50nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,80nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,120nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,170nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
DataValue,1.0,20.0,-0.45999999999999996,558.7301587301587,-0.0007875,0.00036225,-2.78,2799.86000699965,1.0,20.0,-0.30000000000000004,385.3564547206166,-0.0007266,0.00021798000000000002,-0.5800000000000001,599.970001499925,1.0,20.0,-0.66,22771.748799146062,-2.8105e-05,1.8549300000000002e-05,-0.54,52405.01590866555,1.0,20.0,-1.3,31519.33021423295,-4.061e-05,5.2793e-05,-2.46,2479.87600619969,1.0,20.0,-1.18,3584.118646686235,-0.00032365,0.00038190699999999996,-1.38,1398.0427401637708
DataValue,1.0,21.0,-0.45999999999999996,559.2272496187087,-0.0007868,0.00036192799999999997,-1.06,1080.0,1.0,21.0,-0.33999999999999997,374.5099186611271,-0.00085445,0.00029051299999999995,-0.5800000000000001,600.0,1.0,21.0,-0.62,56206.08899297423,-1.0675e-05,6.6185e-06,-0.33999999999999997,148606.81114551082,1.0,21.0,-1.3,29260.48691279003,-4.3745e-05,5.6868500000000006e-05,-1.1,35955.05617977529,1.0,21.0,-1.18,3582.458307597282,-0.0003238,0.000382084,-0.1,12243.024026934654
DataValue,1.0,22.0,-0.45999999999999996,558.2693649685973,-0.00078815,0.000362549,-3.1,3119.84400779961,1.0,22.0,-0.33999999999999997,381.33825895251147,-0.00083915,0.00028531099999999995,-0.14,429.18454935622316,1.0,22.0,-0.62,59571.08816521049,-1.0072e-05,6.24464e-06,-0.74,760.0,1.0,22.0,-1.3,29571.445073351042,-4.3285e-05,5.62705e-05,-0.38,63371.35614702155,1.0,22.0,-1.18,3557.736543474927,-0.00032605,0.00038473899999999994,-1.1400000000000001,3557.736543474927
DataValue,1.0,23.0,-0.45999999999999996,560.1527689369829,-0.0007855,0.00036132999999999993,-0.74,760.0,1.0,23.0,-0.33999999999999997,377.15834757498965,-0.00084845,0.000288473,-0.14,426.60978536195177,1.0,23.0,-0.7,26038.675090943903,-2.6115e-05,1.82805e-05,-0.26,161569.53260242357,1.0,23.0,-1.34,27883.396704689483,-4.734e-05,6.34356e-05,-2.9,2920.0,1.0,23.0,-1.1,4485.981308411216,-0.00024075,0.000264825,-1.06,4485.981308411216
DataValue,1.0,24.0,-0.45999999999999996,557.9861771606113,-0.00078855,0.00036273299999999996,-0.33999999999999997,595.7798924286305,1.0,24.0,-0.33999999999999997,378.8327216763348,-0.0008447,0.00028719799999999996,-1.7,1720.0,1.0,24.0,-0.62,59847.38915764799,-1.00255e-05,6.2158100000000005e-06,-1.8599999999999999,1879.9999999999998,1.0,24.0,-1.26,30583.302503391293,-4.0545e-05,5.10867e-05,-2.5,2520.0,1.0,24.0,-1.1400000000000001,3992.869875222817,-0.0002805,0.00031977000000000004,-2.7,2718.7765505522516
DataValue,1.0,25.0,-0.45999999999999996,557.4559736475358,-0.0007893,0.00036307799999999997,-3.38,3400.0,1.0,25.0,-0.33999999999999997,379.0570954750059,-0.0008442,0.000287028,-0.14,427.52171008684036,1.0,25.0,-0.66,61553.25799471027,-1.03975e-05,6.8623500000000005e-06,-2.38,2399.8800059997,1.0,25.0,-1.3,28956.000452437507,-4.4205e-05,5.74665e-05,-0.38,63466.87822292741,1.0,25.0,-1.1400000000000001,3958.2965188195794,-0.00028295,0.00032256300000000005,-0.94,5938.756572842561
DataValue,1.0,26.0,-0.45999999999999996,556.5041421615127,-0.00079065,0.00036369899999999993,-0.5,520.0,1.0,26.0,-0.33999999999999997,380.81637510412946,-0.0008403,0.000285702,-0.06,446.0551993309172,1.0,26.0,-0.66,27193.541533885702,-2.3535e-05,1.5533100000000002e-05,-0.66,968.0404299238381,1.0,26.0,-1.34,27933.55200507883,-4.7255e-05,6.332170000000001e-05,-1.62,1640.0820041002048,1.0,26.0,-1.06,4555.409548839247,-0.0002283,0.000241998,-2.26,2279.9999999999995
DataValue,1.0,27.0,-0.45999999999999996,557.9507988840984,-0.0007886,0.00036275599999999994,-0.8200000000000001,839.958002099895,1.0,27.0,-0.33999999999999997,376.47058823529414,-0.00085,0.000289,-3.42,3440.0,1.0,27.0,-0.66,62223.51854552526,-1.02855e-05,6.7884300000000005e-06,-0.26,187919.46308724835,1.0,27.0,-1.34,27329.19254658385,-4.83e-05,6.472200000000001e-05,-0.18,69722.85166463308,1.0,27.0,-1.06,4855.275443510738,-0.0002142,0.00022705200000000002,-2.1,2119.8940052997355
DataValue,1.0,28.0,-0.45999999999999996,557.8446909667196,-0.00078875,0.00036282499999999994,-1.78,1800.0,1.0,28.0,-0.33999999999999997,374.8608914660575,-0.00085365,0.00029024099999999995,-0.1,432.8223624887286,1.0,28.0,-0.62,62153.62303827627,-9.6535e-06,5.98517e-06,-1.82,1840.0,1.0,28.0,-1.3,28536.39505071898,-4.4855e-05,5.8311500000000006e-05,-0.18,69722.85166463308,1.0,28.0,-0.98,5875.1529987760105,-0.0001634,0.00016013199999999998,-2.38,2399.640053991901
DataValue,1.0,29.0,-0.45999999999999996,557.1736102317336,-0.0007897,0.00036326199999999994,-0.54,560.0,1.0,29.0,-0.33999999999999997,374.92677211482135,-0.0008535,0.00029018999999999996,-1.8599999999999999,1879.9999999999998,1.0,29.0,-0.62,61365.37969828687,-9.7775e-06,6.062050000000001e-06,-0.30000000000000004,166276.9550532606,1.0,29.0,-1.34,27924.687962767086,-4.727e-05,6.33418e-05,-2.78,2799.9999999999995,1.0,29.0,-0.98,5905.875115349123,-0.00016255,0.00015929899999999998,-1.18,1199.5201919232306
